codmicro,nomemicro,longitude,latitude
31044,Formiga,-45.43140287954462,-20.462920436825904
31045,Campo Belo,-45.314016129543056,-20.87772222390663
31046,Oliveira,-44.74924361098353,-20.77075177512243
31047,Passos,-46.68565887862148,-20.60118256460763
31048,São Sebastião do Paraíso,-46.73285043703028,-21.158563237947096
31049,Alfenas,-46.027907545175495,-21.374305495154772
31050,Varginha,-45.529654112504886,-21.32625292874035
31051,Poços de Caldas,-46.41403279643117,-21.997851250847575
31052,Pouso Alegre,-46.09962956424688,-22.471567690347012
31053,Santa Rita do Sapucaí,-45.67089726952279,-22.10388435746265
31054,São Lourenço,-44.99030086629464,-22.095600076084352
31055,Andrelândia,-44.44626431289419,-21.89204570975253
31056,Itajubá,-45.423939544042895,-22.4293709661908
31057,Lavras,-44.90596493474117,-21.367835272475634
31058,São João Del Rei,-44.296979808532875,-21.151641087500508
31059,Barbacena,-43.764630324409005,-21.196972986127374
31060,Ponte Nova,-42.71631336820043,-20.253190311288865
31061,Manhuaçu,-42.03260788070159,-20.228351524499224
31062,Viçosa,-43.04623948794092,-20.770576629652524
31063,Muriaé,-42.26583468223476,-20.885218830393335
31064,Ubá,-43.02523379720707,-21.141166235250175
31065,Juiz de Fora,-43.48332321028893,-21.747678335789825
31066,Cataguases,-42.60964182597627,-21.556182110684134
32001,Barra de São Francisco,-40.85637375099727,-18.439367856162402
32002,Nova Venécia,-40.539127588669125,-18.74289250900774
32003,Colatina,-40.74421279821449,-19.36436886080576
32004,Montanha,-40.32326820488967,-18.20515112429694
32005,São Mateus,-39.97297396724863,-18.64560188223791
32006,Linhares,-40.14407662174688,-19.444816848069053
32007,Afonso Cláudio,-41.03010554707298,-20.204414405815115
32008,Santa Teresa,-40.71567039168172,-19.94233138054372
32009,Vitória,-40.38317496183672,-20.271435741387826
32010,Guarapari,-40.7305399176263,-20.65263361969008
32011,Alegre,-41.59183758280063,-20.53257274923107
32012,Cachoeiro de Itapemirim,-41.29132236745812,-20.84996369092671
32013,Itapemirim,-40.99824468819442,-21.061044388501973
33001,Itaperuna,-41.85827757956222,-21.15260419714976
33002,Santo Antônio de Pádua,-42.06654967208065,-21.535427102029285
33003,Campos dos Goytacazes,-41.40369338258972,-21.66870747686697
33004,Macaé,-41.7724139481577,-22.20895342368865
33005,Três Rios,-43.09639339410764,-22.11462502088321
33006,Cantagalo-Cordeiro,-42.39440157679543,-21.904958416700946
33007,Nova Friburgo,-42.50794988563844,-22.214923347004763
33008,Santa Maria Madalena,-42.03379879038087,-22.002749540104464
33009,Bacia de São João,-42.27071967393864,-22.52711872117246
33010,Lagos,-42.2337289661506,-22.788767339325222
33011,Vale do Paraíba Fluminense,-44.233564663389785,-22.548628885052345
33012,Barra do Piraí,-43.80728990245933,-22.266275182719063
33013,Baía da Ilha Grande,-44.54065531031493,-23.07281263433552
33014,Vassouras,-43.55411528849534,-22.443465175607525
33015,Serrana,-43.006874136024344,-22.3333323353456
33016,Macacu-Caceribu,-42.68271567584716,-22.58719458462971
33017,Itaguaí,-43.8689769919541,-22.85913145531989
33018,Rio de Janeiro,-43.22143781769895,-22.776298937952806
35001,Jales,-50.72813667603842,-20.220860580392454
35002,Fernandópolis,-50.27384547523636,-20.153006965006124
35003,Votuporanga,-49.86131864192316,-20.233732103977818
35004,São José do Rio Preto,-49.41658769196513,-20.69314188180535
35005,Catanduva,-48.902947934654726,-21.071308020782205
35006,Auriflama,-50.39848014322377,-20.657662391637796
35007,Nhandeara,-49.8764566224605,-20.764921766762953
35008,Novo Horizonte,-49.26648069227974,-21.363081958381606
35009,Barretos,-48.660413291695825,-20.48350458685648
35010,São Joaquim da Barra,-48.12692619366553,-20.503646234113106
35011,Ituverava,-47.758122089014904,-20.26000102844152
35012,Franca,-47.41668377064807,-20.46528981615154
35013,Jaboticabal,-48.44555359072927,-21.14331453686057
35014,Ribeirão Preto,-47.754670165439244,-21.331797170747148
35015,Batatais,-47.38988614716025,-21.06611641063148
35016,Andradina,-51.25874212442757,-20.812506536189595
35017,Araçatuba,-50.71840289666807,-21.126686046417234
35018,Birigui,-50.24677753721235,-21.379685517858523
35019,Lins,-49.75940249456271,-21.67049411718396
35020,Bauru,-49.21067244393718,-22.262808359957067
35021,Jaú,-48.62025719150196,-22.276876565046855
35022,Avaré,-48.93245527777449,-23.196376335912593
35023,Botucatu,-48.36327396075948,-22.885112156044556
35024,Araraquara,-48.523905987629156,-21.70332268726853
35025,São Carlos,-47.88899886816064,-21.96672403552124
35026,Rio Claro,-47.88902532399919,-22.318007186574857
35027,Limeira,-47.35580093885184,-22.391659746745276
35028,Piracicaba,-47.76969106865629,-22.769342523725857
35029,Pirassununga,-47.278391733072624,-21.9645210122407
35030,São João da Boa Vista,-46.9115300900703,-21.721042872041394
35031,Moji Mirim,-46.970151484924436,-22.383798364503562
35032,Campinas,-47.16620791582141,-22.87675306941161
35033,Amparo,-46.63246941911519,-22.662209634343085
35034,Dracena,-51.640696563710215,-21.402401890100435
35035,Adamantina,-51.047022376421445,-21.651118899876604
35036,Presidente Prudente,-51.731359095587024,-22.203465534691997
35037,Tupã,-50.471446982879456,-21.914189217721297
35038,Marília,-49.9560078750321,-22.23509124178714
35039,Assis,-50.545642700452376,-22.59484058495294
35040,Ourinhos,-49.578423445575545,-22.988939186642863
35041,Itapeva,-49.04511542402905,-23.866578688504735
35042,Itapetininga,-48.235095272593114,-23.539481119161074
35043,Tatuí,-47.91020290041761,-23.215308632265447
35044,Capão Bonito,-48.647139005296616,-24.32458991244161
35045,Piedade,-47.585397210059405,-23.870469931981052
35046,Sorocaba,-47.41905689559853,-23.43574931381035
35047,Jundiaí,-46.93398826131785,-23.177833744030732
35048,Bragança Paulista,-46.512242996580795,-23.023965405831927
35049,Campos do Jordão,-45.6822154457887,-22.790916321221687
35050,São José dos Campos,-45.761303561812085,-23.095174398264454
35051,Guaratinguetá,-45.08902977399103,-22.710562981960283
35052,Bananal,-44.56928659739285,-22.724041313716537
35053,Paraibuna - Paraitinga,-45.284759087893,-23.250143521694856
35054,Caraguatatuba,-45.31343415656158,-23.605392864812544
35055,Registro,-47.88606912326452,-24.571952554496328
35056,Itanhaém,-47.004834329096994,-24.173076332892062
35057,Osasco,-46.90575106760306,-23.453230144173617
35058,Franco da Rocha,-46.642181682685596,-23.322298953296006
35059,Guarulhos,-46.337503475948665,-23.346554704842056
35060,Itapecerica da Serra,-46.94927549082521,-23.819377844737474
35061,São Paulo,-46.594352359151955,-23.68804817400748
35062,Mogi das Cruzes,-46.09479775598441,-23.560011555080578
35063,Santos,-46.2510469079884,-23.863666138386748
41001,Paranavaí,-52.79151193760959,-22.947261102502612
41002,Umuarama,-53.517057413926594,-23.729622238460774
41003,Cianorte,-52.75206914130327,-23.611584289962128
41004,Goioerê,-52.86180584194336,-24.421347260501978
41005,Campo Mourão,-52.319127250614,-24.145584808693826
41006,Astorga,-51.85293378662119,-23.007344867022436
41007,Porecatu,-51.235565199451486,-22.913289073495328
41008,Floraí,-52.20520909739214,-23.518090494618313
41009,Maringá,-51.89143237403769,-23.468295969634152
41010,Apucarana,-51.44162634048275,-23.612108204482652
41011,Londrina,-51.176453745014356,-23.441914569810596
41012,Faxinal,-51.516545304649995,-23.9015563881426
41013,Ivaiporã,-51.56359991995748,-24.352277093693527
41014,Assaí,-50.81715109471708,-23.482736464608934
41015,Cornélio Procópio,-50.53325777061958,-23.23500904860502
41016,Jacarezinho,-49.99936151653409,-23.227840680964366
41017,Ibaiti,-50.3509589842181,-23.840999375262697
41018,Wenceslau Braz,-49.80939756063558,-23.675506118071567
41019,Telêmaco Borba,-50.67650151881543,-24.409005186292045
41020,Jaguariaíva,-49.761656566533944,-24.289013021980598
41021,Ponta Grossa,-49.99324206284715,-25.054077060057313
41022,Toledo,-53.90771449346682,-24.542400134464724
41023,Cascavel,-53.22159913537825,-25.033924703203333
41024,Foz do Iguaçu,-54.093364356221635,-25.299818956006224
41025,Capanema,-53.62462626541047,-25.77584520889037
41026,Francisco Beltrão,-53.20533555607469,-25.960114955195372
41027,Pato Branco,-52.629963579725235,-25.97278789117563
41028,Pitanga,-51.974721332060525,-24.80500686412751
41029,Guarapuava,-51.9482974075687,-25.43919293231465
41030,Palmas,-52.04509737696549,-26.250068192137306
41031,Prudentópolis,-50.794064557904576,-25.162370490449433
41032,Irati,-50.79289677374538,-25.677348255410916
41033,União da Vitória,-51.24621037432516,-26.150129368580235
41034,São Mateus do Sul,-50.339085181114534,-25.850259476515724
41035,Cerro Azul,-49.1285697131957,-24.782730638328445
41036,Lapa,-49.858069123700695,-25.750093302335888
41037,Curitiba,-49.257213547117644,-25.33827380601848
41038,Paranaguá,-48.59082852530184,-25.46783746565529
41039,Rio Negro,-49.43656918164174,-25.98988495622216
42001,São Miguel do Oeste,-53.50804347099972,-26.712602393736564
42002,Chapecó,-52.95761796332436,-26.814927061226186
42003,Xanxerê,-52.28937387714536,-26.712939586254254
42004,Joaçaba,-51.25586503711125,-26.915379659255425
42005,Concórdia,-52.08208403451569,-27.18102758251615
42006,Canoinhas,-50.288262557273804,-26.41195160507768
42007,São Bento do Sul,-49.385010197666496,-26.285720735599824
42008,Joinville,-48.933274521922655,-26.333717841713632
42009,Curitibanos,-50.785352632288664,-27.28464553700593
42010,Campos de Lages,-50.2127892283923,-27.93626600428717
42011,Rio do Sul,-49.84040536693355,-27.08226442244438
42012,Blumenau,-49.21791493783503,-26.898206145343334
42013,Itajaí,-48.73578191656545,-26.897251123576204
42014,Ituporanga,-49.559976999506404,-27.462361561364716
42015,Tijucas,-49.001534669722176,-27.39352554680038
42016,Florianópolis,-48.69804558805106,-27.66494552646107
42017,Tabuleiro,-49.12718074869312,-27.797390989682754
42018,Tubarão,-49.062518913354104,-28.311804916491432
42019,Criciúma,-49.430877039864725,-28.618691396088405
42020,Araranguá,-49.73333568987244,-28.986203049264027
43001,Santa Rosa,-54.54473232393955,-27.76619123883555
43002,Três Passos,-53.95662114948266,-27.48159764669499
43003,Frederico Westphalen,-53.168084262485884,-27.441523442663513
43004,Erechim,-52.33210991716631,-27.61128496128441
43005,Sananduva,-51.67652581382271,-27.82039203734637
43006,Cerro Largo,-54.84674150705209,-28.09486434645829
43007,Santo Ângelo,-54.763900715095794,-28.413956019896112
43008,Ijuí,-53.75893785615085,-28.172754451593196
43009,Carazinho,-53.10005259763296,-28.00779701905036
43010,Passo Fundo,-52.20421779231603,-28.26124141103313
43011,Cruz Alta,-53.42471096325963,-28.73929108833216
43012,Não-Me-Toque,-52.854937915652854,-28.539920932358573
43013,Soledade,-52.5567961853185,-28.954504139532055
43014,Guaporé,-51.86941326098328,-28.782600447649404
