population,micro_code,micro_name,longitude,latitude
217284.0,31062,Viçosa,-43.04623948794092,-20.770576629652524
263145.0,31063,Muriaé,-42.26583468223476,-20.88521883039333
245256.0,31064,Ubá,-43.02523379720707,-21.14116623525017
673745.0,31065,Juiz de Fora,-43.48332321028893,-21.747678335789825
208933.0,31066,Cataguases,-42.60964182597627,-21.556182110684134
86197.0,32001,Barra de São Francisco,-40.85637375099727,-18.4393678561624
115960.0,32002,Nova Venécia,-40.539127588669125,-18.74289250900774
186911.0,32003,Colatina,-40.74421279821449,-19.36436886080576
50766.0,32004,Montanha,-40.32326820488967,-18.20515112429694
160770.0,32005,São Mateus,-39.97297396724863,-18.64560188223791
254413.0,32006,Linhares,-40.14407662174688,-19.444816848069053
126463.0,32007,Afonso Cláudio,-41.03010554707298,-20.204414405815115
99446.0,32008,Santa Teresa,-40.71567039168172,-19.94233138054372
1371048.0,32009,Vitória,-40.38317496183672,-20.271435741387823
163563.0,32010,Guarapari,-40.7305399176263,-20.65263361969008
154319.0,32011,Alegre,-41.59183758280063,-20.53257274923107
315537.0,32012,Cachoeiro de Itapemirim,-41.29132236745812,-20.84996369092671
69623.0,32013,Itapemirim,-40.99824468819442,-21.061044388501973
181619.0,33001,Itaperuna,-41.85827757956222,-21.15260419714976
118895.0,33002,Santo Antônio de Pádua,-42.06654967208065,-21.535427102029285
529467.0,33003,Campos dos Goytacazes,-41.40369338258972,-21.66870747686697
178008.0,33004,Macaé,-41.7724139481577,-22.20895342368865
145926.0,33005,Três Rios,-43.09639339410764,-22.11462502088321
58982.0,33006,Cantagalo-Cordeiro,-42.39440157679543,-21.904958416700943
221644.0,33007,Nova Friburgo,-42.50794988563844,-22.214923347004763
28695.0,33008,Santa Maria Madalena,-42.03379879038087,-22.002749540104464
83506.0,33009,Bacia de São João,-42.27071967393864,-22.52711872117246
398142.0,33010,Lagos,-42.2337289661506,-22.788767339325226
631596.0,33011,Vale do Paraíba Fluminense,-44.233564663389785,-22.548628885052345
164335.0,33012,Barra do Piraí,-43.80728990245933,-22.266275182719063
153515.0,33013,Baía da Ilha Grande,-44.54065531031493,-23.07281263433552
152759.0,33014,Vassouras,-43.55411528849534,-22.443465175607525
450044.0,33015,Serrana,-43.00687413602434,-22.3333323353456
99617.0,33016,Macacu-Caceribu,-42.68271567584716,-22.58719458462971
176842.0,33017,Itaguaí,-43.8689769919541,-22.85913145531989
10784953.0,33018,Rio de Janeiro,-43.22143781769895,-22.77629893795281
147282.0,35001,Jales,-50.72813667603842,-20.22086058039245
101011.0,35002,Fernandópolis,-50.27384547523636,-20.153006965006124
127667.0,35003,Votuporanga,-49.86131864192316,-20.233732103977815
684117.0,35004,São José do Rio Preto,-49.41658769196513,-20.69314188180535
204778.0,35005,Catanduva,-48.902947934654726,-21.071308020782205
44197.0,35006,Auriflama,-50.39848014322377,-20.6576623916378
58913.0,35007,Nhandeara,-49.8764566224605,-20.764921766762956
72624.0,35008,Novo Horizonte,-49.26648069227974,-21.363081958381606
127698.0,35009,Barretos,-48.66041329169583,-20.48350458685648
193357.0,35010,São Joaquim da Barra,-48.12692619366553,-20.503646234113106
90779.0,35011,Ituverava,-47.7581220890149,-20.26000102844152
357501.0,35012,Franca,-47.41668377064807,-20.46528981615154
390699.0,35013,Jaboticabal,-48.44555359072927,-21.14331453686057
881285.0,35014,Ribeirão Preto,-47.75467016543925,-21.331797170747148
99164.0,35015,Batatais,-47.38988614716025,-21.06611641063148
174896.0,35016,Andradina,-51.25874212442757,-20.812506536189595
235915.0,35017,Araçatuba,-50.71840289666807,-21.126686046417237
231717.0,35018,Birigui,-50.24677753721235,-21.379685517858523
